cell,feature,seq_len,pred_len,batch_size,num_hidden,num_layer,dropout,learning_rate,data_path,max_train_epochs,exp_num,predict,device,enc_in,dec_in,dec_out,actual_train_epochs,train_cost_time,test_mse,test_mae
GRU,S,40,8,32,64,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,4,22.55285239,7.093968249,1.95578403
GRU,S,40,8,32,64,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,9,49.12214375,6.466977924,1.832939672
GRU,S,40,8,32,64,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,8,42.13328648,6.383532128,1.899856893
GRU,S,40,8,32,64,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,9,47.74696755,6.494285726,1.875726869
GRU,S,40,8,32,64,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,5,26.37721181,6.559504677,1.926352331
,,,,,,,,,,,,,,,,,,,,
LSTM,S,40,8,32,64,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,8,42.99156737,6.427207074,1.835818698
LSTM,S,40,8,32,64,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,8,42.05775166,6.707121147,1.877729705
LSTM,S,40,8,32,64,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,10,53.25279045,6.14811786,1.83845482
LSTM,S,40,8,32,64,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,10,53.91155553,6.052445149,1.836775628
LSTM,S,40,8,32,64,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,9,46.69873595,6.167648611,1.846246921
,,,,,,,,,,,,,,,,,,,,
GRU,S,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,5,51.20074391,12.08937047,2.602451859
GRU,S,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,6,60.99664783,12.63316228,2.608662233
GRU,S,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,7,70.48251271,11.33376796,2.626387728
GRU,S,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,4,40.7170825,14.0690505,2.956254201
GRU,S,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,5,50.38830566,10.77304915,2.499865663
,,,,,,,,,,,,,,,,,,,,
LSTM,S,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,5,53.2042408,12.89654362,2.821695601
LSTM,S,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,6,62.03034282,11.48726581,2.676036543
LSTM,S,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,8,82.47676682,12.06219305,2.598159745
LSTM,S,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,6,62.71373153,11.42361659,2.649624304
LSTM,S,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,6,63.52418709,10.33790718,2.448526099
,,,,,,,,,,,,,,,,,,,,
GRU,S,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,6,91.79807949,14.86467376,2.929893953
GRU,S,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,9,137.4828813,15.46699195,3.005832269
GRU,S,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,4,60.45808339,16.88261105,3.142245478
GRU,S,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,4,4,1,7,106.424134,14.24573917,2.941658497
